user_id,sum,sec,sessions_completed,gender,experience_level,estimate_birth_day,focus,start_date
780,195000,195,39,m,"{""yoga"":""none""}",1981-05-01 13:36:06.016+00,yoga,
781,135000,135,27,m,"{""mindfulness"":""low""}",1985-05-01 14:27:23.846+00,mindfulness,
782,470000,470,940,m,"{""mindfulness"":""none""}",1963-05-01 14:28:54.924+00,mindfulness,
783,65000,65,955,f,"{""mindfulness"":""medium""}",1987-05-01 14:56:32.85+00,mindfulness,
784,35000,35,7,m,"{""mindfulness"":""none""}",1993-05-01 15:24:01.803+00,mindfulness,
785,20000,20,4,f,"{""mindfulness"":""none""}",1989-05-01 16:35:28.399+00,mindfulness,
787,145000,145,29,m,"{""mindfulness"":""none""}",1949-05-01 17:49:03.614+00,mindfulness,
788,2480000,2480,3080,f,"{""mindfulness"":""medium""}",1962-05-01 17:52:08.142+00,mindfulness,
789,40000,40,8,f,"{""mindfulness"":""medium""}",1966-05-01 18:30:46.588+00,mindfulness,
790,700000,700,280,f,"{""mindfulness"":""low""}",1948-05-01 18:36:49.184+00,mindfulness,
793,355000,355,142,m,"{""mindfulness"":""none""}",1980-05-01 20:51:02.879+00,mindfulness,
797,100000,100,20,f,"{""mindfulness"":""none""}",1959-05-01 22:36:28.598+00,mindfulness,
799,485000,485,194,f,"{""mindfulness"":""none""}",1973-05-01 23:35:50.604+00,mindfulness,
800,490000,490,748,f,"{""mindfulness"":""none""}",1978-05-01 23:51:58.906+00,mindfulness,
801,690000,690,276,f,"{""mindfulness"":""high""}",1977-05-02 00:32:57.263+00,mindfulness,
803,15000,15,3,f,"{""mindfulness"":""medium""}",1971-05-02 01:59:48.391+00,mindfulness,
805,485000,485,17822,m,"{""mindfulness"":""none""}",1988-06-21 20:35:00.98+00,mindfulness,2015-07-10 02:18:47.206+00
806,60000,60,12,m,"{""mindfulness"":""medium""}",1964-05-02 03:33:58.947+00,mindfulness,
813,10000,10,2,m,"{""mindfulness"":""none""}",1993-05-02 13:22:15.316+00,mindfulness,
814,705000,705,282,f,"{""mindfulness"":""low""}",1970-05-02 13:25:56.931+00,mindfulness,
815,1355000,1355,1084,m,"{""mindfulness"":""low""}",1962-05-02 15:12:21.304+00,mindfulness,
817,690000,690,276,f,"{""mindfulness"":""none""}",1979-05-02 16:41:14.033+00,mindfulness,
824,535000,535,214,f,"{""mindfulness"":""none""}",2002-05-03 02:24:43.639+00,mindfulness,
825,2755000,2755,3840,f,"{""mindfulness"":""low""}",1982-05-03 02:29:09.656+00,mindfulness,
830,830000,830,332,f,"{""mindfulness"":""medium""}",1985-05-03 13:53:25.036+00,mindfulness,
831,700000,700,280,f,"{""mindfulness"":""high""}",1951-05-03 13:57:28.072+00,mindfulness,
832,240000,240,48,m,"{""mindfulness"":""medium""}",1953-05-03 19:10:30.653+00,mindfulness,
834,705000,705,282,f,"{""mindfulness"":""low""}",1946-05-03 19:20:59.156+00,mindfulness,
835,1295000,1295,777,f,"{""mindfulness"":""none""}",1985-05-03 21:09:49.888+00,mindfulness,
842,360000,360,72,f,"{""mindfulness"":""low""}",1959-05-04 03:41:43.013+00,mindfulness,
845,4545000,4545,16300,f,"{""mindfulness"":""medium""}",1983-05-04 11:40:15.854+00,mindfulness,
846,630000,630,252,f,"{""mindfulness"":""high""}",1954-05-04 12:52:03.471+00,mindfulness,
848,695000,695,278,f,"{""mindfulness"":""high""}",1963-05-04 13:40:05.617+00,mindfulness,
854,140000,140,3321,m,"{""mindfulness"":""medium""}",1992-05-04 16:56:20.807+00,mindfulness,
858,50000,50,10,m,"{""mindfulness"":""medium""}",1971-05-04 17:49:18.731+00,mindfulness,
860,3430000,3430,90123,f,"{""mindfulness"":""medium""}",1977-05-04 18:37:41.71+00,mindfulness,
863,3540000,3540,5684,f,"{""mindfulness"":""medium""}",1964-05-04 20:05:07.546+00,mindfulness,
867,30000,30,6,m,"{""mindfulness"":""low""}",1968-05-04 21:03:42.162+00,mindfulness,
868,65000,65,26,m,"{""mindfulness"":""medium""}",1993-05-04 21:14:31.041+00,mindfulness,
870,415000,415,83,f,"{""mindfulness"":""medium""}",1962-05-04 21:16:20.6+00,mindfulness,
875,5000,5,1,m,"{""mindfulness"":""low""}",1969-05-04 21:50:55.278+00,mindfulness,
880,6440000,6440,16470,f,"{""yoga"":""high""}",1960-05-06 16:18:19.639+00,yoga,
883,3045000,3045,4263,m,"{""mindfulness"":""low""}",1958-05-05 03:11:34.374+00,mindfulness,
884,120000,120,33,m,"{""mindfulness"":""none""}",1970-05-05 03:20:39.079+00,mindfulness,
885,1455000,1455,9230,m,"{""mindfulness"":""low""}",1980-05-05 03:26:46.97+00,mindfulness,
886,70000,70,14,f,"{""mindfulness"":""low""}",1966-05-05 04:04:18.307+00,mindfulness,
888,60000,60,12,f,"{""mindfulness"":""medium""}",1971-05-05 05:12:57.315+00,mindfulness,
889,700000,700,280,f,"{""mindfulness"":""none""}",1977-05-05 05:23:24.394+00,mindfulness,
890,700000,700,280,f,"{""mindfulness"":""none""}",1989-05-05 11:46:59.803+00,mindfulness,
893,125000,125,25,m,"{""mindfulness"":""medium""}",1946-05-05 13:06:53.578+00,mindfulness,
894,695000,695,278,m,"{""mindfulness"":""none""}",1960-05-05 13:31:36.971+00,mindfulness,
898,695000,695,6984,m,"{""mindfulness"":""medium""}",1954-05-05 14:14:57.861+00,mindfulness,
