ID,subscribedYN,sec,sessions_completed,series_completed,experience,focus_n,gender_n,dob_given
523,0,40,1,0,2,0,0,1
524,0,65,1,0,3,0,0,1
525,0,65,1,0,1,0,1,1
526,0,805,5,0,4,0,0,1
527,0,1390,4,0,2,0,0,1
528,0,250,1,0,4,1,0,1
529,0,1420,2,0,3,0,0,1
530,0,560,2,0,3,0,1,1
531,0,60,1,0,2,0,0,1
532,0,295,3,0,3,1,0,1
533,0,65,1,0,3,1,1,1
534,0,20,1,0,2,0,0,1
535,0,1935,4,0,1,0,0,1
536,0,60,1,0,2,0,1,1
537,1,6405,12,1,1,0,1,1
538,0,1160,2,0,3,0,0,1
539,0,135,2,0,2,0,0,1
540,0,20,1,0,1,0,0,1
541,0,65,1,0,2,0,0,1
542,1,1460,4,0,4,1,0,1
543,0,50,1,0,3,0,0,1
544,0,65,1,0,3,0,0,1
545,0,65,1,0,1,0,1,1
546,0,180,1,0,3,1,0,1
547,0,615,7,0,2,1,0,1
548,1,265,1,0,3,0,0,1
549,0,690,2,0,1,0,1,1
550,1,5865,13,3,3,0,0,1
551,0,65,1,0,2,0,0,1
552,0,460,1,0,3,1,0,1
553,0,380,1,0,2,0,1,1
554,0,890,2,0,2,0,0,1
555,1,9255,20,4,3,1,0,1
556,0,1150,17,0,3,0,1,1
557,1,1890,4,0,3,0,0,1
558,1,5285,16,0,3,0,0,1
559,0,3625,7,0,1,1,0,1
560,0,20,1,0,4,0,0,1
561,0,1290,3,0,2,0,0,1
562,0,690,2,0,2,0,0,1
563,0,1780,13,0,1,0,1,1
564,0,925,4,0,3,0,1,1
565,0,65,1,0,3,1,0,1
566,0,130,2,0,3,0,1,1
567,0,35,1,0,3,1,1,1
568,0,65,1,0,1,0,1,1
569,0,105,1,0,3,0,1,1
570,0,195,4,0,2,0,0,1
571,0,200,2,0,1,0,0,1
572,0,65,1,0,1,0,1,1
573,0,2245,7,0,2,0,1,1
574,0,2085,4,0,1,0,1,1
575,0,65,1,0,3,0,0,1
576,0,15,1,0,3,0,0,1
577,0,65,1,0,2,0,0,1
578,0,70,1,0,3,0,0,1
579,1,3355,6,0,3,0,0,1
580,0,15,1,0,1,0,1,1
581,0,65,1,0,1,0,1,1
582,0,40,1,0,3,0,0,1
583,0,65,1,0,2,0,0,1
584,0,25,1,0,4,1,0,1
585,0,85,1,0,3,0,0,1
586,0,60,1,0,2,0,0,1
587,0,1900,4,0,2,0,0,1
