user_id,sec,sessions_completed,series_completed,gender,experience_level,estimate_birth_day,focus,subscribed
1211,110,1,0,f,low,1954-05-12 16:05:28.03+00,mindfulness,
1213,700,2,0,f,low,1984-02-15 14:42:14.345+00,mindfulness,
1219,3670,7,0,f,high,1984-08-13 17:00:40.121+00,yoga,1
1222,65,1,0,f,none,1985-05-12 21:29:46.87+00,mindfulness,
1225,1330,4,0,f,high,1966-05-12 22:13:17.202+00,mindfulness,1
1226,25,1,0,f,low,1988-05-12 22:23:53.273+00,mindfulness,
1230,335,4,0,f,medium,1967-05-13 01:05:41.613+00,yoga,
1238,175,1,0,f,medium,1984-05-13 07:02:33.518+00,yoga,
1239,1300,3,0,f,low,1965-05-13 08:05:29.698+00,mindfulness,
1241,55,1,0,m,low,1985-05-13 15:31:12.523+00,mindfulness,
1243,490,1,0,f,none,1961-05-13 16:33:25.115+00,mindfulness,
1244,890,4,0,m,medium,1961-05-13 16:39:37.967+00,mindfulness,
1246,170,1,0,m,medium,1963-05-13 17:01:05.031+00,mindfulness,
1248,4885,12,2,m,medium,1955-05-13 17:55:28.999+00,mindfulness,
1251,695,2,0,m,none,1991-05-13 18:50:27.262+00,mindfulness,
1252,155,1,0,f,low,1984-05-13 19:11:05.393+00,yoga,
1253,60,1,0,m,medium,1974-05-13 19:53:43.073+00,mindfulness,
1254,80,2,0,f,high,1968-05-13 19:56:47.002+00,mindfulness,
1255,65,1,0,m,low,1966-05-13 20:07:28.936+00,mindfulness,
1256,15,1,0,f,low,1986-05-13 20:27:54.432+00,mindfulness,
1257,120,1,0,m,low,1984-05-13 20:52:13.8+00,mindfulness,
1261,1785,4,0,m,medium,1956-05-13 22:14:43.23+00,mindfulness,
1262,15,1,0,m,none,1985-05-13 22:17:09.587+00,mindfulness,
1263,1840,4,0,f,medium,1987-05-13 22:29:35.292+00,mindfulness,
1264,110,1,0,f,low,1988-05-13 22:41:20.202+00,mindfulness,
1267,1895,2,0,f,medium,1991-05-15 13:56:45.848+00,mindfulness,
1272,75,1,0,f,none,1980-05-14 00:33:38.852+00,mindfulness,
1278,490,1,0,f,none,1984-05-14 08:15:51.436+00,mindfulness,
1279,700,2,0,m,low,1983-05-14 10:11:44.556+00,mindfulness,
1280,4470,11,3,m,medium,1950-11-29 10:13:42.649+00,mindfulness,1
1281,740,2,0,f,low,1978-05-14 12:16:33.295+00,mindfulness,
1283,700,2,0,f,none,1966-05-14 13:41:04.491+00,mindfulness,
1284,225,1,0,f,medium,1976-05-14 14:22:58.089+00,mindfulness,
1285,4390,9,2,f,high,1985-05-14 14:38:16.648+00,mindfulness,1
1286,705,2,0,f,none,1963-05-14 14:53:22.739+00,mindfulness,
1289,110,1,0,f,low,1960-05-14 15:25:53.38+00,mindfulness,
1290,1390,7,0,f,low,1965-05-14 15:45:18.285+00,mindfulness,
1300,40,1,0,f,medium,1983-05-14 20:19:10.567+00,mindfulness,
1301,7115,4,0,f,medium,1956-05-14 20:49:03.686+00,mindfulness,1
1307,40,1,0,m,low,1984-05-15 03:15:46.476+00,mindfulness,
1308,350,4,0,f,low,1972-05-15 07:13:14.434+00,mindfulness,
1310,9580,6,0,f,high,1968-05-15 12:14:17.414+00,yoga,
1311,205,5,0,f,none,1986-05-15 17:34:45.839+00,mindfulness,
1312,600,12,0,f,low,1959-05-15 18:44:00.219+00,mindfulness,
